Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	E0167	argument of type "const char *" is incompatible with parameter of type "const wchar_t *"	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	1291	
Error (active)	E0167	argument of type "const wchar_t *" is incompatible with parameter of type "LPCTSTR"	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	444	
Error (active)	E0167	argument of type "const wchar_t *" is incompatible with parameter of type "LPCTSTR"	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	479	
Error (active)	E0167	argument of type "const char *" is incompatible with parameter of type "const wchar_t *"	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	863	
Error (active)	E0167	argument of type "const char *" is incompatible with parameter of type "const wchar_t *"	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	870	
Error (active)	E0167	argument of type "const char *" is incompatible with parameter of type "const wchar_t *"	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	897	
Error (active)	E0167	argument of type "const wchar_t *" is incompatible with parameter of type "LPCTSTR"	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	1166	
Error (active)	E0167	argument of type "const char *" is incompatible with parameter of type "const wchar_t *"	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	1298	
Error (active)	E0167	argument of type "const char *" is incompatible with parameter of type "const wchar_t *"	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	1305	
Error (active)	E0349	no operator "==" matches these operands	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	1470	
Error (active)	E0349	no operator "=" matches these operands	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	1472	
Error (active)	E0349	no operator "=" matches these operands	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	1473	
Error (active)	E0167	argument of type "const wchar_t *" is incompatible with parameter of type "LPCTSTR"	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	1475	
Error (active)	E0167	argument of type "const wchar_t *" is incompatible with parameter of type "LPCTSTR"	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	1476	
Error (active)	E0415	no suitable constructor exists to convert from "const char [26]" to "std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t>>"	cheers-prototype	E:\MedLaunch\Cheers\CheersApp\Settings\settings_ui.cpp	1592	
